Energy_keV,Angle_deg
235.019,0.0114577
99.8275,0.0241308
441.817,0.0386042
2144.26,0.0453513
776.008,0.075419
662.416,0.0524943
761.069,0.129928
472.552,0.0619221
390.511,0.0444145
203.247,0.0330199
488.147,0.0785254
673.772,0.0223826
200.789,0.0586928
699.538,0.0315116
927.933,0.0222157
183.735,0.0231413
569.972,0.0358059
83.5436,21.6321
123.652,55.5147
193.299,53.1344
215.326,65.7793
205.36,50.719
65.0659,63.9493
183.468,103.976
354.752,21.8726
99.2204,49.7698
446.514,0
1100.47,0.0624949
504.233,0.0323071
448.898,0.0626295
595.051,0.0368981
112.447,86.5608
92.6956,35.4618
173.792,54.3384
108.378,156.517
33.8451,19.2869
82.854,38.1873
174,0
315.872,0.0564613
496.465,0.121463
716.583,0.0297824
784.57,0.0459614
101.426,0.0216728
684.881,0.0522954
972.25,0.064631
793.987,0.074271
734.741,0.147243
853.975,0.0513733
49.5145,0.00106146
381.031,0.0578741
386.975,0.0189926
783.348,0.103122
753.315,0.0772957
30.526,0.0259779
619.889,0.0199571
100.97,0.0163988
654.005,0.0593269
12.702,0.0119902
684.324,0.0063879
1130.68,0.0386251
760.413,0.0789454
685.055,0.0763095
204.037,0.0650776
703.79,0.0357377
678.803,0.0304815
787.026,0.0919719
24.8706,0.027538
973.498,0.0467518
530.174,0.0143591
97.2106,1.468
79.5523,22.213
97.6712,12.9691
153.864,13.7355
235.402,155.09
147.692,20.5543
127.521,60.6446
314.321,68.4525
138.35,27.694
119.049,45.2839
98.6031,47.0653
64.8861,30.3312
96.947,29.6385
9.65365,36.7931
132.164,0.0172767
747.204,0.0357479
357.99,0.0499162
564.68,0.0188011
860.905,0.0578429
884.915,0.0338352
669.855,0.0820074
1023.81,0.0584462
643.241,0.0719528
251.216,0.0192374
730.402,0.135107
829.116,0.049152
890.339,0.039179
641.67,0.0983291
150.319,0.0860034
727.998,0.178863
869.022,0.00381197
728.457,0.115598
702.81,0.078823
565.546,0.0121664
80.4424,0.0123577
33.0697,0.0910534
595.171,0.12396
806.926,0.0195294
711.254,0.036399
451.459,0.049614
224.857,0.027945
159.427,0.0295043
564.543,0.110139
178.705,0.208243
967.752,0.0350707
37.5384,0.0070456
37.121,7.80259
835.749,0.0196303
860.313,0.0788961
13.645,0.0124179
814.003,0.0572074
278.965,0.0161018
19.6099,0.0247725
457.967,0.856418
322.678,0.0439164
547.595,0.0959454
26.6326,0.00556086
88.9514,0.0268482
14.1018,0.00551916
587.243,0.0633169
279.614,0.110863
496.733,0.267106
759.165,0.0611775
684.147,0.0334725
152.276,0.00633861
872.29,0.0374902
168.903,0.00794075
635.472,0.0921725
157.236,21.4749
10.1425,10.3035
173.893,34.5901
93.6492,11.3523
99.4177,34.9982
10.371,0
