Energy_keV,Angle_deg
925.351,0.0513975
750.228,0.0567901
770.799,0.0371603
565.396,0.051657
192.285,0.00588808
94.711,32.1741
41.2044,41.6013
79.7555,39.3058
69.6443,66.1344
26.315,102.695
30.3723,56.8146
0.079757,1.33296
734.394,0.0325776
826.492,0.0843391
434.637,0.0515641
396.903,0.0113376
220.404,13.6978
42.8587,11.3141
97.9403,128.273
121.936,20.7399
337.556,0
1073.63,0.0198112
742.717,0.0557601
902.372,0.121422
1318,0.0262115
1278.81,0.0267361
633.165,0.0933976
1197.5,0.0451325
819.956,0.0659366
806.37,0.0826227
788.223,0.0550196
677.63,0.0845154
1123.83,0.0623472
817.595,0.0158556
764.757,0.0329775
1748.26,0.0434056
746.794,0.0866605
702.534,0.123023
777.347,0.0392437
776.95,0.0443968
765.379,0.0422064
964.228,0.17451
616.042,0.0635612
1121.35,0.0220849
632.099,0.107951
776.773,0.0892391
1226.21,0.066959
1092.97,0.050792
1184.99,0.0291217
660.483,0.0700389
1054.06,0.0105716
381.783,0.0506666
312.02,0.0310213
203.163,51.0343
329.995,90.0094
329.147,34.8249
140.487,104.003
627.38,0
743.542,0.0264164
670.419,0.0728178
734.867,0.0331938
697.061,0.0341104
1114.99,0.0803407
657.905,0.0481217
773.008,0.0396026
868.526,0.0391956
52.9518,0.0456796
1270.49,0.00629003
44.0354,17.4083
63.7306,12.2696
109.115,35.0019
107.501,26.2954
179.574,88.0541
183.237,42.3779
229.809,27.4085
292.322,86.3134
72.147,81.7335
147.778,32.0735
139.285,21.9231
288.609,0
10.371,0
55.3229,0
1107.63,0.111185
745.45,0.0619806
940.414,0.0655258
0.314168,50.8581
0.227697,26.106
0.229202,25.0499
0.117908,34.661
0.426997,16.8766
2.34617,4.91363
0.276602,19.0583
3.22133,54.9765
3.52572,41.4798
12.9558,0
1120.1,0.0632424
752.462,0.0401098
865.419,0.0220368
615.478,0.0709495
800.014,0.0966684
931.723,0.0470909
767.479,0.0521651
717.082,0.0157935
833.162,0.0878594
847.24,0.0458285
724.388,0.0296125
644.62,0.274311
666.101,0.0607153
1286.72,0.0905949
678.487,0.0258322
708.753,0.0843522
637.544,0.0650229
866.27,0.0205485
750.968,0.0895861
1000.93,0.0229814
656.374,0.0467977
775.183,0.0563929
643.196,0.0337529
823.192,0.123273
971.058,0.0542777
676.356,0.0853966
772.462,0.056128
739.328,0.0878793
719.741,0.0341832
720.74,0.0733695
970.609,0.0315199
751.984,0.0232301
1213.09,0.143368
680.237,0.0777245
725.964,0.0198849
618.432,0.025161
744.301,0.0156139
77.9968,0.0456813
701.074,0.0381026
109.325,38.4165
80.584,28.5297
173.391,36.1614
196.406,19.0518
207.296,30.968
102.345,17.2549
189.651,9.03136
68.7396,44.8171
111.648,30.1964
64.4854,9.21247
116.675,27.1168
93.235,23.6709
66.4426,18.9863
773.796,0.0199239
843.488,0.144584
0.689657,30.4185
0.231749,25.1322
0.948674,8.17892
1.51132,67.3754
2.03005,36.4922
5.11557,55.091
16.2951,0
736.519,0.0544274
648.898,0.0382986
886.939,0.0695662
724.911,0.0929753
850.557,0.0688762
852.2,0.0518931
818.693,0.0208126
785.986,0.0727685
623.939,0.0473379
104.458,0.00648991
140.788,21.7421
10.0571,26.982
668.8,0.0552052
21.6369,0.0678221
685.599,0.105533
746.976,8.48084
762.906,0.0448427
788.243,0.0935478
358.327,0.0154503
388.552,0.0274187
213.447,48.7426
103.076,156.376
388.054,26.9322
225.921,0
852.975,0.0417978
494.231,0.0690828
181.153,0.0170481
114.933,35.9448
64.6078,35.2613
58.3045,13.463
54.354,6.34503
56.3841,37.9586
64.42,12.7829
50.6658,25.0039
87.3223,7.64183
71.3001,17.4825
7.55242,39.697
723.715,0.0734092
730.291,0.0482747
777.473,0.023601
796.811,0.0969143
691.186,0.0181826
870.911,0.115965
781.781,0.0766808
779.62,0.0650658
765.54,0.0999299
1626.33,0.154851
698.513,0.0413406
680.902,0.0296391
276.108,0.0477987
156.474,27.1875
68.8969,6.65969
66.4081,11.8916
97.8595,21.9838
35.1813,11.1601
732.282,0.051338
741.896,0.0377771
721.247,0.0520151
701.836,0.0615106
602.619,0.0370896
700.688,0.0433553
1127.25,0.0689561
657.439,0.0375293
984.676,0.084365
809.638,0.0698321
789.123,0.0673851
689.899,0.0212422
692.465,0.00627245
1290.08,0.0655322
615.437,0.0540266
1208.04,0.0568852
635.86,0.125465
698.209,0.00300491
677.309,0.0483982
829.631,0.0329991
673.542,0.0159178
775.823,0.0589129
633.163,0.0337769
678.658,0.0172238
1278.04,0.0670822
807.027,0.0580766
789.41,0.0731817
689.719,0.0506649
1361.36,0.0746225
618.889,0.0469755
731.479,0.0602572
697.15,0.0294032
694.535,0.0617229
690.118,0.0317414
815.499,0.041883
762.049,0.0591022
1585.48,0.0916127
824.623,0.0422379
876.914,0.05442
347.525,0.00439131
419.996,0.0487426
148.123,24.3198
133.946,17.8609
128.131,31.2624
108.392,18.4149
57.7312,22.4566
837.181,0.0773161
365.841,0.0618338
331.694,0.0429442
209.562,119.52
573.914,0
678.436,0.119235
852.349,0.0822833
714.478,0.0922728
637.818,0.0869107
1184.14,0.0539064
948.676,0.0605219
682.515,0.0818833
839.689,0.0515643
1108.45,0.0609768
797.3,0.0768959
794.952,0.0969176
877.992,0.0930513
757.51,0.139836
973.93,0.0220338
749.91,0.0874069
891.897,0.135911
848.804,0.0594863
766.333,0.0315547
752.447,0.0761123
713.14,0.0525536
900.405,0.0550114
337.622,0.0494498
338.441,0.0283345
275.751,49.1971
504.038,0
205.385,0.0111146
452.484,0.025396
67.0812,34.0245
163.096,12.568
143.36,16.1733
75.8361,16.0605
59.6844,14.4989
3.00797,0.200519
971.131,0.0798119
706.958,0.0532835
1501.92,0.0501445
855.924,0.0875584
1307.09,0.00486231
647.704,0.0380178
722.119,0.0364417
1057.92,0.0130922
698.992,0.0761135
748.417,0.0497225
1126.99,0.0522798
683.766,0.0674056
678.126,0.0661693
829.732,0.087207
692.093,0.0289487
705.021,0.0140644
787.803,0.0251354
924.614,0.0722065
677.938,0.0449483
709.138,0.077912
743.737,0.0216115
1150.99,0.0199455
734.994,0.0712957
775.752,0.0428278
720.944,0.0731024
715.331,0.0657643
815.648,0.0355363
1564.25,0.0615082
995.172,0.107424
711.732,0.0324509
763.646,0.016907
891.736,0.0465004
790.056,0.0261219
829.834,0.0796193
685.588,0.0747411
806.131,0.0490807
598.011,0.0302573
727.561,0.092582
694.418,0.0887368
673.157,0.0289886
812.52,0.129107
1233,0.0314345
722.228,0.0394878
1475.38,0.0566633
25.932,0.00911155
34.7704,8.42629
15.197,7.14733
832.338,0.0339129
831.017,0.042573
710.977,0.0542072
632.878,0.0498555
766.058,0.126832
2.40069,0.000218893
3.84575,1.54287
671.145,0.0272079
870.414,0.088075
639.664,0.0833037
734.779,0.0829506
