Energy_keV,Angle_deg
815.59,0.067631
1283.01,0.0373633
799.403,0.0452858
912.884,0.0759805
638.493,0.0637022
767.83,0.0619323
701.027,0.144391
1170.54,0.0430235
762.688,0.0230698
654.412,0.07905
911.415,0.00726051
734.796,0.0818752
1163.19,0.0137815
647.149,0.0132068
1309.84,0.0730117
835.306,0.0509384
948.56,0.0106807
794.831,0.0559676
657.758,0.142139
935.301,0.0351252
637.406,0.0142772
710.17,0.149153
698.091,0.117185
1241.8,0.0135619
1142.75,0.0158893
741.449,0.0437547
746.979,0.076157
762.046,0.0622709
731.579,0.140033
887.56,0.0626086
858.123,0.033023
690.793,0.0373137
632.309,0.0666493
683.541,0.0652359
696.278,0.0451609
716.722,0.14242
694.473,0.0986994
684.787,0.0814756
703.89,0.0509353
731.993,0.0502821
1160.43,0.0216679
659.366,0.0590904
999.737,0.0201508
800.05,0.0754671
608.587,0.0443332
829.109,0.0409519
729.594,0.0332103
650.212,0.0263364
682.679,0.0812561
792.947,0.0528896
668.315,0.048389
887.131,0.0628966
688.471,0.0470392
883.265,0.131311
1258.69,0.0774754
751.348,0.088429
980.651,0.0315116
710.941,0.0535299
651.059,0.0380793
673.998,0.0838573
816.827,0.0199643
872.976,0.0549437
839.098,0.0645538
685.524,0.131845
693.894,0.0290465
777.225,0.0965496
1230.72,0.0242532
1131.99,0.0238219
719.879,0.063822
856.028,0.103945
833.435,0.0157395
820.341,0.101722
375.714,0.0504285
64.7468,0
1970.56,0.45312
388.01,0.0171815
964.148,0.0543043
1212.58,0.00162665
805.583,0.080669
905.334,0.0422212
624.79,0.0562421
128.182,0.0128758
96.6763,70.2553
38.0521,70.9753
38.8831,43.7568
59.5868,28.126
84.6571,29.048
58.7889,33.7606
45.976,31.5507
46.6411,31.2751
39.4165,44.9343
54.0544,35.6612
37.4478,19.7348
36.5495,3.37434
114.624,51.2874
29.975,55.0118
44.5052,22.9892
78.4102,32.148
36.0499,27.7331
47.2298,25.9702
59.6421,32.8078
57.994,64.8566
73.5102,17.684
65.1639,40.0293
116.577,72.902
289.554,0
811.238,0.0309181
940.968,0.031361
770.266,0.0364886
778.025,0.047239
774.684,0.0664852
723.186,0.0676633
152.131,0.047436
521.088,0.124931
103.358,23.6192
115.296,69.1137
171.191,59.7699
64.9123,57.9472
441.622,0
697.773,0.132872
816.828,0.0599721
831.813,0.069412
655.553,0.105871
750.445,0.104515
885.954,0.0211594
674.705,0.0305359
794.633,0.115792
798.733,0.1009
1274.61,0.0538518
700.946,0.0220076
642.043,0.106317
648.039,0.0863385
709.282,0.0735867
200.27,0.0683052
462.199,0.0724504
125.983,29.8557
196.079,29.7974
193.159,3.21768
29.5077,11.2837
675.618,0.0119132
788.504,0.0669731
697.647,0.0300199
716.569,0.0371043
692.411,0.111494
966.688,0.0991751
955.875,0.0670702
727.355,0.0540973
643.691,0.0848827
783.463,0.059173
658.097,0.02996
658.755,0.0399389
927.373,0.0491338
864.56,0.116023
773.827,0.050464
865.379,0.0405056
566.373,0.0793001
166.975,0.0104732
99.2772,20.1287
235.083,12.0272
99.4915,0.90838
60.9443,65.1795
65.3411,37.4298
49.6873,15.7916
54.9246,13.4357
36.6442,8.9737
663.343,0.0820621
779.969,0.0508815
604.347,0.0582113
768.438,0.0462845
715.844,0.0268939
805.274,0.0296845
1151.23,0.120329
666.618,0.0130321
1046.37,0.126684
794.335,0.0675671
699.969,0.0462973
758.285,0.103043
726.024,0.0222205
884.394,0.0451994
620.821,0.0603818
709.947,0.0341566
1248.27,0.0570136
894.255,0.0677516
810.493,0.115002
742.717,0.0639604
649.965,0.0127326
719.543,0.0282465
813.429,0.0410114
1143.82,0.0870213
665.327,0.0382686
379.485,0.136195
249.106,0.0134837
330.805,2.24357
686.62,0.0273132
269.726,0.0603489
421.02,0.0441992
233.84,103.216
636.429,0
739.663,0.0297301
862.309,0.0793273
694.007,0.0202635
1653.05,0.0967329
1098.4,0.023858
919.203,0.0501145
671.506,0.0883181
928.73,0.0388219
1575.53,0.0694379
891.239,0.0217073
713.539,0.0476506
885.601,0.0668146
874.866,0.032975
657.823,0.0878937
686.931,0.117063
