particle,material,n_particles,n_displacements,avg_RET_eV,NIEL_MeV_cm2_g,K_exp,avg_damage_small_eV,avg_damage_large_eV,damage_ratio,MannWhitney_U,p_value,large_angle_event_frac,large_angle_damage_frac
pi-,GaN,15067,13116,15968383.945892135,51.92970092692781,0.870511714342603,14385.870792756537,73547232.39069705,5112.463016679461,38567662.0,0.0,0.21696422645516691,0.9992945653019714
mu-,GaN,15067,13116,15968383.945892135,51.92970092692781,0.870511714342603,14385.870792756537,73547232.39069705,5112.463016679461,38567662.0,0.0,0.21696422645516691,0.9992945653019714
mu-,GaN,14393,12713,18389813.07275609,59.80426723888992,0.883276592788161,5204.283573603867,79277122.01727584,15233.051945779724,36901590.0,0.0,0.23191829361495173,0.9997826342667627
e-,GaN,19472,14997,12185310.089779548,39.6270192299415,0.7701828266228431,4677.778016654757,75660575.61802515,16174.469021112865,51216495.0,0.0,0.16100041084634348,0.9996779192039265
e-,GaN,2039,1582,15016769.92736586,48.83501913720698,0.7758705247670427,5198.778934077734,81411024.3803667,15659.643430252732,625288.0,1.4699157847619829e-204,0.1844041196665032,0.999717642133595
e-,GaN,2039,1582,15016769.92736586,48.83501913720698,0.7758705247670427,5198.778934077734,81411024.3803667,15659.643430252732,625288.0,1.4699157847619829e-204,0.1844041196665032,0.999717642133595
pi-,GaN,2039,1582,15016769.92736586,48.83501913720698,0.7758705247670427,5198.778934077734,81411024.3803667,15659.643430252732,625288.0,1.4699157847619829e-204,0.1844041196665032,0.999717642133595
mu-,GaN,1383,1229,16370599.296949446,53.237718209770144,0.888647866955893,4997.349816267376,76729153.9008962,15353.968947926644,320960.0,7.881660315861696e-154,0.21330441070137382,0.9997598503747569
pi-,GaN,2039,1582,15016769.92736586,48.83501913720698,0.7758705247670427,5198.778934077734,81411024.3803667,15659.643430252732,625288.0,1.4699157847619829e-204,0.1844041196665032,0.999717642133595
pi-,GaN,1578,1364,17467933.71723996,56.80628528173714,0.8643852978453739,18310.653487830892,75458046.61918627,4120.991458296945,442745.0,1.0470989415488244e-185,0.23130544993662863,0.999194220646113
pi-,GaN,1578,1364,17467933.71723996,56.80628528173714,0.8643852978453739,18310.653487830892,75458046.61918627,4120.991458296945,442745.0,1.0470989415488244e-185,0.23130544993662863,0.999194220646113
